Date and Time:                Thu Jun 11 10:55:24.630 2020	
Software Version:             4.30.30034.0	
Temperature (C):              -35	
Model:                        DV499_BU2	
Data Type:                    Counts	
Acquisition Mode:             Single Scan	
Trigger Mode:                 Internal	
Exposure Time (secs):         3e-05	
Readout Mode:                 Full Vertical Binning	
Horizontal binning:           1	
Extended Dynamic Range:       off	
Horizontally flipped:         false	
Vertical Shift Speed (usecs): 4.25	
Pixel Readout Time (usecs):   30.303	
Serial Number:                5767	
Pre-Amplifier Gain:           1x	
Spurious Noise Filter Mode:   No Filter	
Photon counted:               false	
Data Averaging Filter Mode:   No Filter	
DongWooDM320i:	
Serial Number:                	
Wavelength (nm):              690	
Grating Groove Density (l/mm):1200	
	
	
	
661.94519	482
662.00061	481
662.05603	482
662.11145	484
662.16693	486
662.22235	484
662.27777	487
662.33319	482
662.38861	484
662.44403	488
662.49945	488
662.55487	486
662.61029	488
662.66565	484
662.72107	485
662.77649	488
662.83191	487
662.88727	484
662.94269	485
662.99805	485
663.05347	485
663.10883	486
663.16425	487
663.2196	487
663.27496	484
663.33032	486
663.38574	484
663.4411	486
663.49646	485
663.55182	486
663.60718	485
663.66254	485
663.7179	484
663.77325	485
663.82861	484
663.88391	484
663.93927	487
663.99463	488
664.04993	487
664.10529	490
664.16064	487
664.21594	489
664.27124	484
664.3266	487
664.3819	487
664.43726	486
664.49255	482
664.54785	486
664.60315	481
664.65845	486
664.71374	486
664.7691	486
664.8244	486
664.87964	485
664.93494	486
664.99023	486
665.04553	489
665.10083	487
665.15613	487
665.21136	490
665.26666	485
665.3219	484
665.3772	488
665.43243	485
665.48773	485
665.54297	486
665.59827	487
665.6535	487
665.70874	488
665.76398	483
665.81921	488
665.87451	489
665.92975	485
665.98499	485
666.04022	487
666.09546	489
666.15063	486
666.20587	486
666.26111	491
666.31635	488
666.37152	486
666.42676	486
666.48199	485
666.53717	490
666.59241	487
666.64758	486
666.70282	487
666.758	486
666.81317	490
666.86835	484
666.92358	486
666.97876	491
667.03394	489
667.08911	491
667.14429	488
667.19946	487
667.25464	489
667.30981	488
667.36499	487
667.4201	488
667.47528	486
667.53046	488
667.58563	489
667.64075	487
667.69592	485
667.75104	487
667.80621	488
667.86133	488
667.91644	487
667.97162	483
668.02673	487
668.08185	487
668.13696	489
668.19214	485
668.24725	491
668.30237	489
668.35748	486
668.4126	488
668.46765	485
668.52277	486
668.57788	488
668.633	487
668.68811	487
668.74316	491
668.79828	489
668.85333	487
668.90845	490
668.9635	486
669.01862	487
669.07367	492
669.12872	488
669.18384	484
669.23889	491
669.29395	487
669.349	487
669.40405	489
669.45911	488
669.51416	490
669.56921	487
669.62427	488
669.67932	486
669.73437	487
669.78937	484
669.84442	489
669.89947	487
669.95447	489
670.00952	489
670.06451	486
670.11957	488
670.17456	489
670.22961	488
670.28461	487
670.3396	488
670.39459	488
670.44965	488
670.50464	489
670.55963	485
670.61462	489
670.66962	488
670.72461	487
670.7796	485
670.83453	487
670.88953	486
670.94452	490
670.99951	488
671.05444	485
671.10944	491
671.16437	485
671.21936	486
671.27429	486
671.32928	484
671.38422	488
671.43915	485
671.49408	487
671.54907	487
671.604	486
671.65894	491
671.71387	484
671.7688	488
671.82373	488
671.87866	486
671.93359	485
671.98846	487
672.0434	486
672.09833	486
672.15326	486
672.20813	482
672.26306	489
672.31793	486
672.37286	487
672.42773	485
672.4826	485
672.53754	489
672.59241	487
672.64728	486
672.70215	486
672.75708	489
672.81195	487
672.86682	488
672.92169	486
672.97656	487
673.03137	488
673.08624	485
673.14111	486
673.19598	487
673.25079	487
673.30566	488
673.36053	484
673.41534	483
673.47021	486
673.52502	485
673.57983	486
673.6347	484
673.68951	485
673.74432	488
673.79913	490
673.854	485
673.90881	488
673.96362	488
674.01843	488
674.07324	483
674.12805	483
674.1828	486
674.23761	488
674.29242	486
674.34723	493
674.40198	489
674.45679	484
674.51154	489
674.56635	488
674.62109	484
674.6759	487
674.73065	487
674.7854	488
674.84021	487
674.89496	486
674.94971	488
675.00446	488
675.0592	487
675.11395	486
675.1687	487
675.22345	490
675.2782	487
675.33295	486
675.38763	488
675.44238	489
675.49713	487
675.55182	487
675.60657	489
675.66125	488
675.716	489
675.77069	491
675.82538	486
675.88013	487
675.93481	485
675.9895	486
676.04419	487
676.09888	486
676.15356	489
676.20825	490
676.26294	488
676.31763	489
676.37231	488
676.427	491
676.48169	490
676.53632	489
676.591	487
676.64569	486
676.70032	488
676.755	486
676.80963	490
676.86426	486
676.91895	487
676.97357	485
677.0282	492
